epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr
55,0.0678,0.694,0.6273,0.086,17.8827,0.6822,0.2128,0.2106,0.9504,0.7853,0.00092699
56,0.0653,0.6604,0.6208,0.0875,119.6685,0.68,0.2124,0.2121,0.9537,0.7824,0.00092423
57,0.0654,0.6633,0.6212,0.0874,5358.9051,0.6844,0.2201,0.2253,0.9671,0.7861,0.00092142
58,0.0653,0.6773,0.6203,0.0867,80.7812,0.6816,0.2155,0.2209,0.9525,0.7828,0.00091857
59,0.0624,0.6433,0.6121,0.0853,1746.6639,0.6807,0.2243,0.2283,0.9585,0.7882,0.00091567
60,0.0629,0.647,0.6128,0.0854,3119.0509,0.6774,0.2159,0.2194,0.9595,0.7904,0.00091272
61,0.0619,0.6352,0.6089,0.0849,34.2354,0.6734,0.2478,0.2504,0.9645,0.7935,0.00090973
62,0.0605,0.6313,0.6053,0.0849,1258.9303,0.6804,0.2399,0.2445,0.9572,0.7989,0.00090669
63,0.0597,0.6214,0.6027,0.0839,55.4997,0.6822,0.2514,0.2577,0.9506,0.7906,0.00090361
64,0.0598,0.6267,0.6028,0.0832,18.39,0.6759,0.2522,0.2518,0.9591,0.7967,0.00090048
65,0.06,0.6193,0.6052,0.0835,16.29,0.6727,0.2592,0.2592,0.9607,0.8003,0.00089731
66,0.0583,0.999,0.5984,0.0833,86.7322,0.6732,0.2477,0.243,0.9502,0.7865,0.0008941
67,0.0589,0.6195,0.601,0.0823,2586.6777,0.6723,0.2566,0.2592,0.9621,0.8047,0.00089084
68,0.0566,0.5958,0.5939,0.0819,459.5419,0.6663,0.2616,0.2666,0.9568,0.7916,0.00088754
69,0.0568,0.5965,0.593,0.0804,2607.4193,0.6652,0.2838,0.2813,0.9606,0.8049,0.00088419
70,0.0566,0.5985,0.5935,0.0794,1251.0166,0.6634,0.2899,0.2916,0.9583,0.809,0.00088081
71,0.056,0.5918,0.5921,0.0794,1866.3894,0.6579,0.2609,0.2651,0.9603,0.805,0.00087738
72,0.0558,0.5949,0.5921,0.0814,489.0598,0.6676,0.2547,0.2577,0.9603,0.7977,0.00087391
73,0.0531,3.388,0.5814,0.0775,307.2741,0.6546,0.2963,0.2946,0.9615,0.817,0.00087039
74,0.0531,0.5717,0.5842,0.0776,69.8511,0.6501,0.2961,0.3004,0.9592,0.805,0.00086684
75,0.0536,0.5746,0.5851,0.077,20.1865,0.6502,0.3034,0.299,0.9521,0.8085,0.00086325
76,0.0511,0.5595,0.5795,0.0779,96.82,0.6558,0.2709,0.2813,0.9658,0.8064,0.00085962
77,0.0513,0.5534,0.5793,0.0782,499.693,0.6549,0.2654,0.2725,0.9704,0.8147,0.00085594
78,0.0511,0.5521,0.579,0.0777,79.7149,0.6565,0.2925,0.299,0.9628,0.8154,0.00085223
79,0.0513,0.5549,0.5792,0.0778,28.1977,0.6578,0.2866,0.2828,0.9603,0.81,0.00084848
80,0.0509,0.5489,0.578,0.076,31.0749,0.6514,0.3191,0.3196,0.962,0.8206,0.00084469
81,0.0495,0.5385,0.5748,0.076,290.8987,0.6525,0.325,0.324,0.9627,0.8187,0.00084086
82,0.0493,0.5354,0.5731,0.0769,24.665,0.6541,0.2884,0.2901,0.9607,0.8127,0.000837
83,0.0484,0.5249,0.5719,0.0735,51.3276,0.641,0.3457,0.3432,0.9582,0.816,0.00083309
84,0.0479,0.5213,0.5703,0.0761,7.3833,0.649,0.3348,0.3314,0.9487,0.8126,0.00082916
85,0.0483,0.5251,0.5707,0.0751,8.1764,0.6531,0.3239,0.3196,0.9576,0.8134,0.00082518
86,0.0474,0.5176,0.5688,0.0741,737.7958,0.6459,0.3402,0.3387,0.9527,0.8175,0.00082117
87,0.0473,0.5231,0.5682,0.0759,18.5178,0.6574,0.3369,0.3284,0.9529,0.8134,0.00081712
88,0.0473,0.5238,0.5688,0.0736,212.8747,0.6428,0.3498,0.3432,0.9605,0.8236,0.00081304
89,0.0457,0.5082,0.5659,0.0732,31.2828,0.6453,0.3593,0.3535,0.9605,0.8239,0.00080893
90,0.0459,0.5157,0.5667,0.0743,47.515,0.6471,0.3387,0.3402,0.9632,0.8204,0.00080478
91,0.0444,0.4996,0.5616,0.0745,638.9295,0.6547,0.3644,0.3623,0.9594,0.8225,0.00080059
92,0.0447,2.9146,0.5608,0.0752,71.3731,0.6571,0.3383,0.3358,0.9578,0.8156,0.00079638
93,0.0441,0.5165,0.5616,0.0731,7.0932,0.6495,0.3789,0.3711,0.9519,0.8192,0.00079213
94,0.0449,0.507,0.5635,0.0737,10.0454,0.6451,0.363,0.3608,0.9579,0.824,0.00078785
95,0.0435,0.4885,0.5604,0.0717,73.4946,0.6446,0.3709,0.3638,0.9539,0.8215,0.00078353
96,0.0421,0.4791,0.558,0.07,60.1474,0.634,0.3873,0.3873,0.9612,0.8341,0.00077919
97,0.0418,0.4744,0.5551,0.0712,9.8066,0.6411,0.3737,0.3682,0.9592,0.8261,0.00077482
98,0.0418,0.4814,0.5576,0.0728,25.9989,0.6506,0.353,0.352,0.9576,0.8234,0.00077041
99,0.0435,0.4956,0.5597,0.0721,7.8243,0.6494,0.3778,0.3756,0.9586,0.8267,0.00076598
100,0.0414,6.0806,0.5543,0.07,5.4945,0.6405,0.4,0.4035,0.9647,0.8302,0.00076151
101,0.0418,0.4838,0.5568,0.0704,65.6245,0.6396,0.3959,0.3947,0.9648,0.8342,0.00075702
102,0.0403,0.4611,0.5536,0.0724,7.0118,0.6474,0.3653,0.3594,0.9607,0.827,0.0007525
103,0.0403,0.4606,0.5534,0.0704,14.7743,0.6353,0.3952,0.3859,0.9506,0.8239,0.00074795
104,0.04,0.4588,0.5522,0.0706,4.7061,0.6384,0.4242,0.4124,0.9518,0.825,0.00074338
105,0.039,0.4528,0.5504,0.0682,15.9436,0.6359,0.4266,0.4197,0.9591,0.8373,0.00073877
106,0.0391,0.45,0.5513,0.0708,69.0328,0.639,0.3812,0.3873,0.9607,0.8318,0.00073415
107,0.0392,0.4485,0.5504,0.0708,10.159,0.6399,0.3804,0.377,0.961,0.8278,0.00072949
108,0.0384,0.445,0.5492,0.0692,42.6068,0.6402,0.3988,0.3976,0.9638,0.8344,0.00072481
109,0.0387,0.4487,0.5503,0.0709,6.8881,0.649,0.3871,0.3814,0.958,0.8275,0.00072011
110,0.0385,0.4428,0.5494,0.0688,4.8896,0.638,0.4273,0.4242,0.9622,0.8366,0.00071538
111,0.0379,0.4405,0.5472,0.0681,4.9664,0.6307,0.4219,0.4138,0.9563,0.832,0.00071063
112,0.0395,0.4539,0.5505,0.0708,4.4586,0.6443,0.4085,0.3976,0.9548,0.8257,0.00070586
113,0.037,0.4293,0.5465,0.0677,5.1192,0.6342,0.4241,0.4153,0.9624,0.8388,0.00070106
114,0.037,0.4322,0.5462,0.0681,3.8428,0.6292,0.4275,0.4212,0.9638,0.8392,0.00069624
115,0.036,0.424,0.5449,0.0673,17.8457,0.6368,0.4401,0.433,0.9625,0.8404,0.0006914
116,0.0365,0.4269,0.5457,0.0672,5.6218,0.6323,0.4352,0.43,0.961,0.8406,0.00068654
117,0.036,0.4231,0.5445,0.0683,11.8057,0.6315,0.4303,0.4271,0.9652,0.8395,0.00068166
118,0.0353,0.4166,0.5429,0.0677,5.5546,0.6255,0.4305,0.4153,0.9511,0.8334,0.00067676
119,0.036,0.4191,0.5447,0.0696,12.2179,0.6445,0.4294,0.4212,0.9636,0.8374,0.00067184
120,0.0346,0.4097,0.5418,0.0671,3.429,0.639,0.4666,0.4624,0.9668,0.8452,0.0006669
121,0.0347,0.4099,0.5417,0.0678,3.4024,0.6386,0.4413,0.4374,0.9667,0.8407,0.00066194
122,0.0351,0.4115,0.5425,0.0674,3.6393,0.6391,0.4331,0.4242,0.9548,0.8328,0.00065697
123,0.0345,0.4076,0.5411,0.0682,3.8889,0.6421,0.4133,0.4035,0.9591,0.8333,0.00065198
124,0.034,0.4071,0.5402,0.068,10.368,0.6403,0.4119,0.4065,0.9609,0.8403,0.00064697
125,0.0337,0.404,0.5396,0.0667,33.6897,0.6359,0.4254,0.4286,0.9655,0.8374,0.00064194
126,0.0331,0.3965,0.5395,0.066,4.8429,0.6336,0.4599,0.4477,0.9586,0.8426,0.0006369
127,0.0338,0.4012,0.5402,0.0663,2.8977,0.6351,0.4626,0.4551,0.9628,0.8455,0.00063185
